Date,Description,Amount
2024-01-01,SALARY CREDIT - INFOSYS LTD,75000.00
2024-01-02,HDFC HOME LOAN EMI,-28000.00
2024-01-03,SIP MUTUAL FUND AXIS,-5000.00
2024-01-04,HOUSE RENT,-20000.00
2024-01-05,ELECTRICITY BILL MSEB,-2800.00
2024-01-07,ZOMATO FOOD ORDER,-450.00
2024-01-08,PETROL PUMP HP,-3200.00
2024-01-10,BIG BAZAAR GROCERY,-2500.00
2024-01-12,UBER RIDE,-280.00
2024-01-15,AMAZON PURCHASE,-1200.00
2024-01-18,MOBILE RECHARGE AIRTEL,-599.00
2024-01-20,NETFLIX SUBSCRIPTION,-799.00
2024-01-22,APOLLO HOSPITAL,-4500.00
2024-01-25,LIFE INSURANCE PREMIUM,-15000.00
2024-01-28,FLIPKART ORDER,-2800.00
2024-01-30,DIVIDEND CREDIT HDFC MF,2500.00
2024-02-01,SALARY CREDIT - INFOSYS LTD,75000.00
2024-02-02,HDFC HOME LOAN EMI,-28000.00
2024-02-03,SIP MUTUAL FUND AXIS,-5000.00
2024-02-04,HOUSE RENT,-20000.00
2024-02-05,ELECTRICITY BILL MSEB,-3200.00
2024-02-07,SWIGGY FOOD ORDER,-680.00
2024-02-08,PETROL PUMP BPCL,-3500.00
2024-02-10,DMART PURCHASE,-1800.00
2024-02-12,OLA RIDE,-320.00
2024-02-15,AMAZON PRIME SUBSCRIPTION,-1499.00
2024-02-18,JIO RECHARGE,-666.00
2024-02-20,BOOK MY SHOW,-800.00
2024-02-22,MEDICAL STORE,-650.00
2024-02-25,HEALTH INSURANCE PREMIUM,-25000.00
2024-02-28,INTEREST CREDIT SAVINGS,850.00
2024-03-01,SALARY CREDIT - INFOSYS LTD,75000.00
2024-03-02,HDFC HOME LOAN EMI,-28000.00
2024-03-03,SIP MUTUAL FUND AXIS,-5000.00
2024-03-03,ELSS INVESTMENT HDFC,-8000.00
2024-03-04,HOUSE RENT,-20000.00
2024-03-05,ELECTRICITY BILL MSEB,-2900.00
2024-03-07,RESTAURANT BILL,-1200.00
2024-03-08,PETROL PUMP IOC,-3100.00
2024-03-10,GROCERY SHOPPING,-2200.00
2024-03-12,METRO CARD RECHARGE,-500.00
2024-03-15,ONLINE SHOPPING MYNTRA,-3200.00
2024-03-18,BROADBAND BILL BSNL,-899.00
2024-03-20,MOVIE TICKETS,-600.00
2024-03-22,PHARMACY PURCHASE,-450.00
2024-03-25,CAR SERVICING,-8500.00
2024-03-28,BONUS CREDIT,25000.00
